,Latitude,Longitude,CMPLNT_FR_TM,BORO_NM
5295891,40.668403867,-73.869286157,20,BROOKLYN
5295930,40.623960368,-73.938282477,19,BROOKLYN
5296581,40.64173826,-74.075678037,1,STATEN ISLAND
5297067,40.649091472,-73.955776823,22,BROOKLYN
5297861,40.750294976,-73.822805246,12,QUEENS
5297923,40.836843178,-73.850809958,2,BRONX
5298576,40.65381516,-73.853205037,23,QUEENS
5298814,40.842328579,-73.885739479,17,BRONX
5299362,40.68469984,-73.924744826,1,BROOKLYN
5300067,40.736984449,-73.809998125,19,QUEENS
5302973,40.738838819,-73.926700862,7,QUEENS
5303200,40.681803475,-73.923789039,1,BROOKLYN
5306350,40.764463103,-73.831774379,23,QUEENS
5307229,40.67013835,-73.908925194,4,BROOKLYN
5307415,40.67013835,-73.908925194,4,BROOKLYN
5309369,40.692389705,-73.793764553,21,QUEENS
5309949,40.845984791,-73.907462791,5,BRONX
5309950,40.845984791,-73.907462791,5,BRONX
5310007,40.870142434,-73.869305409,2,BRONX
5312814,40.831578538,-73.927697229,1,BRONX
5313479,40.618091468,-74.027852316,19,BROOKLYN
5315465,40.839739531,-73.913178032,6,BRONX
5315622,40.695140908,-73.975125947,0,BROOKLYN
5316972,40.689111202,-73.945058895,1,BROOKLYN
5317605,40.819856355,-73.920140835,23,BRONX
5317712,40.67500776,-74.006577149,20,BROOKLYN
5319567,40.672789843,-73.773651622,12,QUEENS
5321139,40.764694063,-73.914348014,4,QUEENS
5321217,40.651998977,-73.944869621,2,BROOKLYN
5322481,40.815720251,-73.864502585,2,BRONX
5323846,40.682140409,-73.826891092,0,QUEENS
5330709,40.680536156,-73.957086365,0,BROOKLYN
5331821,40.88443116,-73.833004197,2,BRONX
5337086,40.801063787,-73.950481913,2,MANHATTAN
5338171,40.682807656,-73.767816313,14,QUEENS
5338479,40.842271968,-73.905032007,2,BRONX
5338612,40.676152237,-73.893068674,0,BROOKLYN
5339175,40.691103257,-73.912877554,17,BROOKLYN
5339198,40.814000554,-73.900780541,16,BRONX
5342914,40.620759553,-74.010548599,19,BROOKLYN
5343560,40.670869804,-73.86317105,2,BROOKLYN
5344202,40.675727746,-73.921495901,22,BROOKLYN
5344247,40.66357893,-73.896646458,21,BROOKLYN
5344261,40.850660187,-73.908920209,21,BRONX
5349168,40.669788059,-73.958293685,8,BROOKLYN
5349472,40.709186497,-73.819156071,0,QUEENS
5352483,40.81725838,-73.940404581,23,MANHATTAN
5352500,40.671025464,-73.906195082,22,BROOKLYN
5352811,40.872596004,-73.825563635,16,BRONX
5357323,40.827871665,-73.864958422,16,BRONX
5358646,40.860655553,-73.895006204,18,BRONX
5358807,40.680494853,-73.867095611,14,BROOKLYN
5360368,40.825100443,-73.89485635,3,BRONX
5360896,40.847277155,-73.910442906,23,BRONX
5363838,40.666231521,-73.922538001,22,BROOKLYN
5364058,40.69969571,-73.981691569,18,BROOKLYN
5364072,40.786006915,-73.845738305,18,QUEENS
5364099,40.680096472,-73.912556632,17,BROOKLYN
5364605,40.886052491,-73.8614443,6,BRONX
5368488,40.745435546,-73.864353209,19,QUEENS
5369066,40.671411663,-73.881511724,2,BROOKLYN
5369514,40.820261474,-73.897877215,23,BRONX
5369545,40.816805565,-73.907261306,22,BRONX
5369578,40.846741539,-73.906482233,21,BRONX
5375121,40.684998931,-73.93844593,21,BROOKLYN
5376544,40.693065804,-73.999543473,21,BROOKLYN
5378599,40.670206898,-73.923942878,4,BROOKLYN
5378807,40.679670066,-73.936136211,0,BROOKLYN
5379790,40.708909009,-73.965804097,5,BROOKLYN
5381279,40.722273155,-73.976342426,1,MANHATTAN
5383366,40.696493892,-73.949430815,22,BROOKLYN
5385134,40.637804468,-73.942377197,17,BROOKLYN
5385751,40.670667775,-73.93233809,1,BROOKLYN
5386523,40.854120099,-73.888809888,21,BRONX
5388153,40.638614237,-73.948267625,10,BROOKLYN
5388428,40.852841995,-73.88417431,1,BRONX
5389420,40.685650526,-73.980487523,6,BROOKLYN
5390796,40.887313634,-73.847271758,5,BRONX
5391484,40.829363293,-73.919045385,21,BRONX
5392238,40.605163421,-73.754847799,4,QUEENS
5392923,40.734983188,-73.988054214,22,MANHATTAN
5400452,40.638335307,-74.164483967,7,STATEN ISLAND
5401315,40.684069625,-73.75818135,19,QUEENS
5401426,40.859639663,-73.86323458,17,BRONX
5401986,40.676064661,-74.00240969,3,BROOKLYN
5402445,40.81493989,-73.886592131,5,BRONX
5402666,40.655621162,-73.919937382,23,BROOKLYN
5402826,40.642043072,-73.949609007,19,BROOKLYN
5405141,40.844350414,-73.815105671,1,BRONX
5409117,40.5580167,-74.130417978,10,STATEN ISLAND
5409217,40.654952417,-73.958000222,5,BROOKLYN
5411273,40.637223031,-73.912627224,22,BROOKLYN
5412817,40.841694933,-73.911108193,22,BRONX
5412965,40.868587481,-73.883311681,19,BRONX
5413628,40.818413984,-73.907277131,5,BRONX
5415811,40.857082062,-73.901352508,20,BRONX
5417809,40.671411663,-73.881511724,2,BROOKLYN
5417922,40.689491039,-73.908018925,0,BROOKLYN
5418261,40.817755155,-73.91801901,23,BRONX
5419527,40.696979876,-73.792740591,21,QUEENS
5424257,40.836678228,-73.915596087,10,BRONX
5425507,40.578510134,-73.934900975,10,BROOKLYN
5429019,40.663996333,-73.893848712,10,BROOKLYN
5430502,40.861063085,-73.893447414,4,BRONX
5431153,40.820411063,-73.893331855,22,BRONX
5432943,40.699837274,-73.913089739,11,BROOKLYN
5435414,40.872845399,-73.898794425,15,BRONX
5436852,40.835577917,-73.908803531,6,BRONX
5439364,40.689097532,-73.925616087,15,BROOKLYN
5441944,40.686082215,-73.919233753,22,BROOKLYN
5442736,40.869588539,-73.900050398,1,BRONX
5444043,40.847688805,-73.934930327,6,MANHATTAN
5444749,40.816366145,-73.867626311,22,BRONX
5445507,40.801392386,-73.93271089,2,MANHATTAN
5446555,40.703499897,-73.767495386,5,QUEENS
5448105,40.740824511,-73.974260858,1,MANHATTAN
5448147,40.833450977,-73.943407506,0,MANHATTAN
5448702,40.727606514,-73.97781979,22,MANHATTAN
5449456,40.636818967,-74.118653127,2,STATEN ISLAND
5450095,40.665114176,-73.891673378,22,BROOKLYN
5452370,40.783898154,-73.950285241,1,MANHATTAN
5455142,40.816068266,-73.908552085,0,BRONX
5456170,40.739095849,-73.896774703,3,QUEENS
5456797,40.857418359,-73.893706303,22,BRONX
